INFO   | jvm 1    | main    | 2017/03/29 10:22:03.267 | WARN  [ImpExResultProcessWorker] [ImpExImportReader] line 13 at main script: dumped unresolved line ValueLine[,line 13 at main script,null,HeaderDescriptor[line 2 at main script, insert_update, Product, {}, [code, OEMModels, catalogversion] ],{1=ValueEntry('<ignore>02-402'=null,unresolved=null,ignore=true), 2=ValueEntry('briggs & stratton - 060101-9400-97'=null,unresolved=true,reason:cannot resolve value 'briggs & stratton - 060101-9400-97' for attribute 'OEMModels',ignore=false), 3=ValueEntry('<ignore>'=null,unresolved=null,ignore=true)}]
INFO   | jvm 1    | main    | 2017/03/29 10:22:03.367 | WARN  [ImpExResultProcessWorker] [ImpExImportReader] line 12 at main script: dumped unresolved line ValueLine[,line 12 at main script,null,HeaderDescriptor[line 2 at main script, insert_update, Product, {}, [code, OEMModels, catalogversion] ],{1=ValueEntry('<ignore>02-402'=null,unresolved=null,ignore=true), 2=ValueEntry('briggs & stratton - 060101-9400-77'=null,unresolved=true,reason:cannot resolve value 'briggs & stratton - 060101-9400-77' for attribute 'OEMModels',ignore=false), 3=ValueEntry('<ignore>'=null,unresolved=null,ignore=true)}]
INFO   | jvm 1    | main    | 2017/03/29 10:22:03.467 | WARN  [ImpExResultProcessWorker] [ImpExImportReader] line 21 at main script: dumped unresolved line ValueLine[,line 21 at main script,null,HeaderDescriptor[line 2 at main script, insert_update, Product, {}, [code, OEMModels, catalogversion] ],{1=ValueEntry('<ignore>02-402'=null,unresolved=null,ignore=true), 2=ValueEntry('briggs & stratton - 060102-0214-99'=null,unresolved=true,reason:cannot resolve value 'briggs & stratton - 060102-0214-99' for attribute 'OEMModels',ignore=false), 3=ValueEntry('<ignore>'=null,unresolved=null,ignore=true)}]
INFO   | jvm 1    | main    | 2017/03/29 10:22:03.467 | WARN  [ImpExResultProcessWorker] [ImpExImportReader] line 22 at main script: dumped unresolved line ValueLine[,line 22 at main script,null,HeaderDescriptor[line 2 at main script, insert_update, Product, {}, [code, OEMModels, catalogversion] ],{1=ValueEntry('<ignore>02-402'=null,unresolved=null,ignore=true), 2=ValueEntry('briggs & stratton - 060102-0221-99'=null,unresolved=true,reason:cannot resolve value 'briggs & stratton - 060102-0221-99' for attribute 'OEMModels',ignore=false), 3=ValueEntry('<ignore>'=null,unresolved=null,ignore=true)}]
INFO   | jvm 1    | main    | 2017/03/29 10:22:03.568 | WARN  [ImpExResultProcessWorker] [ImpExImportReader] line 23 at main script: dumped unresolved line ValueLine[,line 23 at main script,null,HeaderDescriptor[line 2 at main script, insert_update, Product, {}, [code, OEMModels, catalogversion] ],{1=ValueEntry('<ignore>02-402'=null,unresolved=null,ignore=true), 2=ValueEntry('briggs & stratton - 060102-0240-99'=null,unresolved=true,reason:cannot resolve value 'briggs & stratton - 060102-0240-99' for attribute 'OEMModels',ignore=false), 3=ValueEntry('<ignore>'=null,unresolved=null,ignore=true)}]
INFO   | jvm 1    | main    | 2017/03/29 10:22:03.668 | WARN  [ImpExResultProcessWorker] [ImpExImportReader] line 24 at main script: dumped unresolved line ValueLine[,line 24 at main script,null,HeaderDescriptor[line 2 at main script, insert_update, Product, {}, [code, OEMModels, catalogversion] ],{1=ValueEntry('<ignore>02-402'=null,unresolved=null,ignore=true), 2=ValueEntry('briggs & stratton - 060102-0247-99'=null,unresolved=true,reason:cannot resolve value 'briggs & stratton - 060102-0247-99' for attribute 'OEMModels',ignore=false), 3=ValueEntry('<ignore>'=null,unresolved=null,ignore=true)}]
INFO   | jvm 1    | main    | 2017/03/29 10:22:03.668 | WARN  [ImpExResultProcessWorker] [ImpExImportReader] line 25 at main script: dumped unresolved line ValueLine[,line 25 at main script,null,HeaderDescriptor[line 2 at main script, insert_update, Product, {}, [code, OEMModels, catalogversion] ],{1=ValueEntry('<ignore>02-402'=null,unresolved=null,ignore=true), 2=ValueEntry('briggs & stratton - 060102-0248-99'=null,unresolved=true,reason:cannot resolve value 'briggs & stratton - 060102-0248-99' for attribute 'OEMModels',ignore=false), 3=ValueEntry('<ignore>'=null,unresolved=null,ignore=true)}]
INFO   | jvm 1    | main    | 2017/03/29 10:22:03.769 | WARN  [ImpExResultProcessWorker] [ImpExImportReader] line 26 at main script: dumped unresolved line ValueLine[,line 26 at main script,null,HeaderDescriptor[line 2 at main script, insert_update, Product, {}, [code, OEMModels, catalogversion] ],{1=ValueEntry('<ignore>02-402'=null,unresolved=null,ignore=true), 2=ValueEntry('briggs & stratton - 060102-0253-99'=null,unresolved=true,reason:cannot resolve value 'briggs & stratton - 060102-0253-99' for attribute 'OEMModels',ignore=false), 3=ValueEntry('<ignore>'=null,unresolved=null,ignore=true)}]
INFO   | jvm 1    | main    | 2017/03/29 10:22:03.871 | WARN  [ImpExResultProcessWorker] [ImpExImportReader] line 27 at main script: dumped unresolved line ValueLine[,line 27 at main script,null,HeaderDescriptor[line 2 at main script, insert_update, Product, {}, [code, OEMModels, catalogversion] ],{1=ValueEntry('<ignore>02-402'=null,unresolved=null,ignore=true), 2=ValueEntry('briggs & stratton - 060102-0257-99'=null,unresolved=true,reason:cannot resolve value 'briggs & stratton - 060102-0257-99' for attribute 'OEMModels',ignore=false), 3=ValueEntry('<ignore>'=null,unresolved=null,ignore=true)}]
INFO   | jvm 1    | main    | 2017/03/29 10:22:03.874 | WARN  [ImpExResultProcessWorker] [ImpExImportReader] line 28 at main script: dumped unresolved line ValueLine[,line 28 at main script,null,HeaderDescriptor[line 2 at main script, insert_update, Product, {}, [code, OEMModels, catalogversion] ],{1=ValueEntry('<ignore>02-402'=null,unresolved=null,ignore=true), 2=ValueEntry('briggs & stratton - 060102-0136-99'=null,unresolved=true,reason:cannot resolve value 'briggs & stratton - 060102-0136-99' for attribute 'OEMModels',ignore=false), 3=ValueEntry('<ignore>'=null,unresolved=null,ignore=true)}]
